[2025-12-16 14:10:12 [AUTH-SERVICE] [WARNING] [Error 403 - Token interno invalido]
[2025-12-16 14:40:25 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:18:14 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:19:36 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:26:20 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:34:09 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:34:27 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 11:55:29 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:00:30 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:01:14 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:01:25 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:03:58 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:05:31 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:18:26 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:18:43 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
[2025-12-18 14:33:02 [AUTH-SERVICE] [INFO] [Token correcto | LOGGIN OK]
